model,split,rmse,truth,predict
r1+r2-rf-rdkit_2d_normalized,0,0.4316969431918015,"[2.371990911464915, 1.4393326938302626, 1.4983105537896004, 1.414973347970818, 2.2612628687924934, 1.4313637641589874, 2.110589710299249, 1.462397997898956, 1.7442929831226763, 2.1861083798132053]","[1.5444848625859486, 1.3484175247646453, 1.380059769641066, 1.4388620569078931, 1.7705125870244671, 1.5109228247040662, 1.9317246165034796, 1.6935758516546997, 2.5728520049791013, 2.5561425709793104]"
r1+r2-rf-rdkit_2d_normalized,1,0.40277598710782037,"[1.380211241711606, 1.2174839442139065, 1.3222192947339193, 1.484299839346786, 1.3324384599156054, 1.4548448600085102, 2.037426497940624, 1.5740312677277188, 2.342422680822206, 3.00987563371216]","[1.7890000769552936, 1.489291964693665, 1.4428573171715389, 1.4841349883204316, 1.9390464778494807, 1.4818826592134058, 2.361005409009836, 1.7995298277845089, 3.215969304118338, 3.291660198761861]"
r1+r2-rf-rdkit_2d_normalized,2,0.7669324577736407,"[1.7481880270062005, 1.5622928644564746, 1.255272505103306, 1.809559714635268, 2.6133131614554594, 1.3891660843645326, 3.451095311633917, 1.7201593034059568, 3.821775467183464, 4.040681439373358]","[1.7068578450375826, 1.5489804002345002, 1.516048471112056, 1.5008560021890065, 1.6007633788269104, 1.507469646961613, 1.6803286921626748, 1.7083806088633526, 3.027213826300988, 3.086568080787925]"
r1+r2-rf-rdkit_2d_normalized,3,0.2978465344493747,"[1.5563025007672873, 1.3891660843645326, 1.5250448070368452, 1.469822015978163, 1.469822015978163, 1.3979400086720375, 1.469822015978163, 1.7160033436347992, 2.702430536445525, 3.303088010528054]","[1.7559973608511554, 1.63442835897642, 1.6179427725632762, 1.576887321491451, 1.7293751796417256, 1.5895032978793686, 1.645849499789013, 1.8116608865088653, 2.5372209680421363, 2.5313974196158044]"
r1+r2-rf-rdkit_2d_normalized,4,0.28293810259933844,"[1.5854607295085006, 1.230448921378274, 1.3324384599156054, 1.2671717284030135, 1.7958800173440752, 1.3117538610557542, 2.423245873936808, 1.5185139398778875, 2.6133131614554594, 2.9372670722114127]","[1.708839096568854, 1.5265781243755012, 1.55160159300681, 1.60617116347873, 1.8180420618059472, 1.6589371714941432, 2.0433240820400864, 1.8206221880503028, 2.9820782682040665, 3.142320245856825]"
r1+r2-rf-rdkit_2d_normalized,5,0.33297537523153115,"[1.4065401804339552, 1.423245873936808, 1.1903316981702914, 1.3891660843645326, 1.7558748556724917, 1.3710678622717365, 1.4313637641589874, 1.380211241711606, 2.2648178230095364, 2.932980821923198]","[1.6549821710804966, 1.519071734221349, 1.5171020988751525, 1.5500144473189226, 1.6102565939559723, 1.5053681945251378, 1.702979946128769, 1.7211790074428817, 3.067963308939544, 3.1086242098263472]"
r1+r2-rf-rdkit_2d_normalized,6,0.4869879397015188,"[1.3710678622717365, 2.3434085938038574, 1.4548448600085102, 1.3324384599156054, 1.4471580313422192, 1.4313637641589874, 1.6483600109809315, 1.5250448070368452, 1.5440680443502757, 1.591064607026499]","[1.9738580658218208, 1.944143313699432, 1.9565100181813608, 1.914238737623497, 2.0550577150546725, 1.887298163461844, 2.064019799765457, 2.0421044312542453, 1.9164851498208124, 1.9110768400868423]"
r1+r2-rf-rdkit_2d_normalized,7,0.5343467008050614,"[1.5622928644564746, 1.3710678622717365, 1.230448921378274, 1.230448921378274, 1.3521825181113625, 1.5118833609788744, 2.287801729930226, 2.1156105116743, 3.791725727933098, 4.166015456323775]","[1.6666827160024942, 1.3432873583235578, 1.3823660758928589, 1.4134746732251329, 1.6313243275058458, 1.428641562060479, 1.6913760881681534, 1.6359987265898488, 2.893374079421477, 3.021733288470815]"
r1+r2-rf-rdkit_2d_normalized,8,0.5252565114180086,"[1.0, 1.2174839442139065, 1.2041199826559248, 1.290034611362518, 1.255272505103306, 1.2174839442139065, 1.290034611362518, 1.8293037728310249, 3.640878778701618, 2.4265112613645754]","[1.800094036931178, 1.7288589451734715, 1.662526206905012, 1.6372593775343178, 1.7387375447977778, 1.7189425652558028, 1.7915907397805475, 1.8370924454976216, 2.852127055645379, 2.8359501169141943]"
r1+r2-rf-rdkit_2d_normalized,9,0.30263904482117165,"[1.9111576087399769, 1.6580113966571124, 1.6074550232146685, 1.568201724066995, 1.6127838567197357, 1.5378190950732742, 1.662757831681574, 1.99563519459755, 3.59477915450515, 3.936790115130084]","[1.95440497738631, 1.6341160707342508, 1.5485715075988222, 1.627930578264978, 1.8340959589167756, 1.5340679401431512, 1.971197300675039, 1.737351958820689, 3.1811437951758528, 3.2125696207874848]"
r1+r2-rf-rdkit_2d_normalized,10,0.8478349129109337,"[2.2027606873932, 1.6384892569546374, 3.012415374762433, 2.747411807886423, 4.5618940823807, 2.750893920382125, 2.3096301674258988, 3.3679147387937527, 3.667779718248877, 4.066568168015852]","[2.068581433218857, 2.0086585489970044, 2.004375955140945, 1.9911274665010583, 2.8141504728099265, 1.9383023923886629, 2.195996456617272, 2.214880815034197, 3.5123480153113458, 3.4635507868926627]"
r1+r2-rf-rdkit_2d_normalized,11,0.4972707128590247,"[1.0606978403536118, 1.1613680022349748, 1.0791812460476249, 1.230448921378274, 1.021189299069938, 1.1903316981702914, 1.2787536009528289, 1.568201724066995, 2.8172347304254983, 3.0330214446829107]","[1.919269190726476, 1.6860371775025191, 1.5672545667678996, 1.5566818790018957, 1.7901833860397476, 1.61517461556689, 1.733007040589586, 1.830754910477494, 3.06333230758756, 3.1226195005752846]"
r1+r2-rf-rdkit_2d_normalized,12,0.3848459759962636,"[2.1832698436828046, 1.2787536009528289, 1.3521825181113625, 1.3521825181113625, 2.0569048513364727, 1.380211241711606, 1.792391689498254, 1.5314789170422551, 1.591064607026499, 1.7032913781186614]","[1.974285728741689, 1.892745689255936, 1.921332622667003, 1.8335083895275788, 1.9446922134550455, 1.846242226016797, 1.8143836196886027, 1.976900770568362, 1.8528163965930708, 1.790597421621684]"
r1+r2-rf-rdkit_2d_normalized,13,0.5835644302214368,"[1.8948696567452523, 1.2787536009528289, 1.3222192947339193, 1.5502283530550942, 3.106870544478654, 1.6901960800285136, 1.9395192526186185, 1.5502283530550942, 2.6459132750338443, 3.258756972536576]","[1.824873168469504, 1.5926219017734755, 1.6099279220642475, 1.6040257560749576, 1.7422256985886202, 1.8021446840654356, 2.1729731097406617, 1.987669306232432, 3.566411789892111, 3.757184857606784]"
r1+r2-rf-rdkit_2d_normalized,14,0.28793249689239975,"[1.230448921378274, 1.0606978403536118, 1.1760912590556811, 1.2041199826559248, 0.8750612633917001, 1.1903316981702914, 1.230448921378274, 1.6720978579357175, 3.2597133053907306, 2.88280904139244]","[1.467170651850403, 1.3445877123859349, 1.3706816243771562, 1.4009346529205997, 1.455262485836874, 1.417151458050418, 1.6282677308328466, 1.7525863997333166, 3.124758891861993, 3.0944398510420204]"
r1+r2-rf-rdkit_2d_normalized,15,0.7824234855944903,"[1.9731278535996988, 1.7958800173440752, 1.7520484478194385, 1.7442929831226763, 2.2355284469075487, 2.501059262217752, 2.625312450961674, 2.198657086954422, 2.338456493604605, 2.920905604164024]","[1.3251999598702815, 1.2128163622532857, 1.2046162702552246, 1.2674289058574748, 1.208862523067574, 1.2453397743314842, 1.4685711787250113, 1.712899977705694, 3.0786136644302973, 3.2077725776579227]"
r1+r2-rf-rdkit_2d_normalized,16,0.6810625381348073,"[1.7323937598229686, 1.0969100130080565, 1.130333768495006, 1.1613680022349748, 0.9542425094393248, 1.130333768495006, 1.3521825181113625, 1.806179973983887, 3.4770488662734738, 3.7582304084577496]","[1.9050788118102824, 1.7793833551293292, 1.838757776997916, 1.8149688701821096, 2.09605277037986, 1.988780663109302, 2.201721423076517, 1.9808789219336695, 3.0666376241438886, 3.2557585741992368]"
r1+r2-rf-rdkit_2d_normalized,17,0.43781781755657234,"[1.5740312677277188, 2.3988077302032647, 2.220108088040055, 2.3010299956639813, 1.8893017025063104, 2.2612628687924934, 1.8920946026904804, 2.227886704613673, 2.0588054866759067, 1.806179973983887]","[1.6317007693761545, 1.7268545557779225, 1.657912581413274, 1.580228216234095, 1.685347620919384, 1.6769839818434509, 1.8978788959266304, 1.8078250372183025, 1.8009343149832386, 1.8265930084213609]"
r1+r2-rf-rdkit_2d_normalized,18,0.38458335976651126,"[1.7520484478194385, 1.130333768495006, 1.290034611362518, 1.130333768495006, 1.1613680022349748, 1.0606978403536118, 1.3117538610557542, 1.841984804590114, 3.520352504083318, 3.4805099729419604]","[1.6047836712805568, 1.5052831875595611, 1.4805944203892063, 1.5646663067626658, 1.7430401758479928, 1.5547894692919002, 2.0094893274773957, 1.7361650425817807, 3.433321437368814, 3.541630879042848]"
r1+r2-rf-rdkit_2d_normalized,19,0.447362284563946,"[1.7888751157754168, 1.5563025007672873, 1.7634279935629371, 1.9319661147281728, 3.479863113023098, 1.9822712330395684, 1.6989700043360187, 2.062581984228163, 3.486572150518356, 3.808717242049248]","[1.8935488580382676, 2.181740737094644, 2.445169166710548, 2.091355231740452, 2.708974923907657, 1.9682077318288904, 2.169214708391281, 2.178505287008368, 3.251804564226242, 3.3345082761285187]"
r1+r2-rf-rdkit_2d_normalized,20,0.2996838082015745,"[1.2041199826559248, 1.423245873936808, 1.5378190950732742, 1.7481880270062005, 1.3891660843645326, 1.7160033436347992, 1.667452952889954, 1.7853298350107671, 3.4239009185284166, 3.5848963441374497]","[1.5643897419024126, 1.222664816839382, 1.257948059679043, 1.2524854240705003, 1.3130986124462964, 1.261488230651022, 1.390177408831362, 1.7207303878737534, 3.2239240728864087, 3.319166934460501]"
r1+r2-rf-rdkit_2d_normalized,21,0.7261212817046556,"[1.8920946026904804, 3.3582204731086795, 3.419955748489758, 1.9469432706978247, 3.1218879851036814, 1.7558748556724917, 1.6020599913279625, 1.866287339084195, 3.399587200018076, 2.4409090820652177]","[1.7900720162735988, 1.8943827427755813, 2.086638487387741, 1.993015254498237, 2.5648697604968755, 2.0983216378095007, 2.2040614679307424, 2.108325462887944, 2.829780816698722, 2.848619095795961]"
r1+r2-rf-rdkit_2d_normalized,22,1.1654925874306092,"[3.049799277918986, 3.905957699092427, 4.162758511291854, 4.175729196106905, 3.840011945275068, 3.514414920580369, 2.718916686014861, 3.0166155475571776, 3.6792006957270496, 3.485366465708323]","[2.031273663727867, 2.194733754479777, 2.2794840145237667, 2.353898665721328, 2.847264795257132, 2.313171239815885, 2.5607624288405493, 2.578994356880488, 3.3734679466618376, 3.368201143757468]"
