reactant1,reactant2,reactants,product,products,v,logv
NCCN,O=C(OCCCC)/C=C\C(OCCCC)=O,NCCN.O=C(OCCCC)/C=C\C(OCCCC)=O,CCCCOC(=O)CC(NCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,CCCCOC(=O)CC(NCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,51.5,1.711807229041191
NCCN,O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC(CC)COC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,59.0,1.7708520116421442
NCCN,O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,NCCN.O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,CCCCCCCCOC(=O)CC(NCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,CCCCCCCCOC(=O)CC(NCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,103.5,2.0149403497929366
NCCN,O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,NCCN.O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,CC(C)CCCCCOC(=O)CC(NCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,CC(C)CCCCCOC(=O)CC(NCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,61.0,1.7853298350107671
NCCN,O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCNC(CC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC,248.5,2.395326393069351
NCCN,O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CC)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC,CCCCCCCCC(CC)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CC)OC(=O)CC(NCCNC(CC(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC,615.5,2.7892280572673354
NCCN,O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC,CCCCCCCCC(CCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC.CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCNC(CC(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,161.5,2.2081725266671217
NCCN,O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(C)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(C)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(C)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC.CCCCCCCCCCC(C)OC(=O)CC(NCCNC(CC(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,143.5,2.156851901070011
NCCN,O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNC(CC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNC(CC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC,305.5,2.485011214578573
NCCN,O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCN.O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCNC(CC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)C(CC(=O)OCC(CC)CCCC)NCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC,148.0,2.1702617153949575
NCCCN,O=C(OCCCC)/C=C\C(OCCCC)=O,NCCCN.O=C(OCCCC)/C=C\C(OCCCC)=O,CCCCOC(=O)CC(NCCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,CCCCOC(=O)CC(NCCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,35.0,1.5440680443502757
NCCCN,O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC(CC)COC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,265.0,2.423245873936808
NCCCN,O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,NCCCN.O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,CCCCCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,CCCCCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,510.5,2.707995746422929
NCCCN,O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,NCCCN.O=C(OCCCCCC(C)C)/C=C\C(OCCCCCC(C)C)=O,CC(C)CCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,CC(C)CCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,465.0,2.667452952889954
NCCCN,O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OCCCCCCCC/C=C\C/C=C\CCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCCNC(CC(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC)C(=O)OCC(CC)CCCC.CCCCC/C=C\C/C=C\CCCCCCCCOC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCCCCCCCC/C=C\C/C=C\CCCCC,602.5,2.779957051246906
NCCCN,O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OC(CC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CC)OC(=O)CC(NCCCNC(CC(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCC(CC)OC(=O)CC(NCCCNC(CC(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CC)OC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CC)CCCCCCCC,51.0,1.7075701760979363
NCCCN,O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OC(CCCCCCCC)CCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCC(CCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC.CCCCCCCCC(CCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCC)CCCCCCCC)C(=O)OCC(CC)CCCC,97.5,1.9890046156985368
NCCCN,O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OC(C)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(C)OC(=O)CC(NCCCNC(CC(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(C)OC(=O)CC(NCCCNC(CC(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(C)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC.CCCCCCCCCCC(C)OC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(C)CCCCCCCCCC)C(=O)OCC(CC)CCCC,36.5,1.5622928644564746
NCCCN,O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OC(CCCCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)CC(NCCCNC(CC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCCCC)OC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OC(CCCCCCCCCC)CCCCCCCCCC,625.0,2.7958800173440754
NCCCN,O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCN.O=C(OCC(CCCCCCCC)CCCCCCCCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCCNC(CC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCCNC(CC(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)CC(NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC)C(=O)OCC(CC)CCCC.CCCCCCCCCCC(CCCCCCCC)COC(=O)C(CC(=O)OCC(CC)CCCC)NCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CCCCCCCC)CCCCCCCCCC,812.5,2.909823369650912
NCCCCCCN,O=C(OCCCC)/C=C\C(OCCCC)=O,NCCCCCCN.O=C(OCCCC)/C=C\C(OCCCC)=O,CCCCOC(=O)CC(NCCCCCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,CCCCOC(=O)CC(NCCCCCCNC(CC(=O)OCCCC)C(=O)OCCCC)C(=O)OCCCC,85.0,1.9294189257142929
NCCCCCCN,O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,NCCCCCCN.O=C(OCC(CC)CCCC)/C=C\C(OCC(CCCC)CC)=O,CCCCC(CC)COC(=O)CC(NCCCCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,CCCCC(CC)COC(=O)CC(NCCCCCCNC(CC(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC)C(=O)OCC(CC)CCCC,509.0,2.7067177823367587
NCCCCCCN,O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,NCCCCCCN.O=C(OCCCCCCCC)/C=C\C(OCCCCCCCC)=O,CCCCCCCCOC(=O)CC(NCCCCCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,CCCCCCCCOC(=O)CC(NCCCCCCNC(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC)C(=O)OCCCCCCCC,1038.0,3.016197353512439
